criterion,model,alpha_ord,alpha_int,ICC2_1,ICC3_1,fleiss,AC1,AC2,PABAK,p_o,p_e
Absence of Artifacts,Model A,0.0406,0.05489,0.07964,0.08859,-0.00039,0.7633,0.96349,0.72064,0.77652,0.7766
Absence of Artifacts,Model B,-0.02044,-0.03286,0.01403,0.01719,-0.01094,0.605,0.93256,0.55019,0.64015,0.64405
Anatomical Accuracy,Model A,0.0991,0.12952,0.14931,0.16267,0.05274,0.56035,0.91525,0.50758,0.60606,0.58413
Anatomical Accuracy,Model B,0.15548,0.15441,0.16936,0.1802,0.07277,0.30246,0.71379,0.2661,0.41288,0.3668
Boundary Sharpness,Model A,-0.13506,-0.10576,0.00509,0.0086,-0.13764,0.61711,0.93171,0.55853,0.64683,0.68955
Boundary Sharpness,Model B,-0.08502,-0.09393,0.03157,0.05897,-0.07218,0.58907,0.93864,0.53125,0.625,0.65025
Overall Realism,Model A,-0.09691,-0.07342,0.03097,0.05106,-0.11774,0.52665,0.92775,0.46496,0.57197,0.61706
Overall Realism,Model B,-0.08528,-0.02907,0.04682,0.0666,-0.11216,0.31858,0.83377,0.26136,0.40909,0.46869
